1000 5000
846 31 3990
640 546 1233
736 979 4351
957 171 467
130 414 450
959 189 950
177 162 1837
955 371 2931
431 447 4158
463 933 4016
212 531 3292
847 460 4469
900 308 303
333 27 337
500 342 220
598 815 4746
974 545 3298
860 943 4927
124 717 1345
153 72 3407
743 681 837
94 42 216
872 413 185
233 470 4740
920 684 2599
100 692 4538
882 426 2642
849 82 3731
953 868 1629
711 680 1894
55 946 3576
805 309 3116
926 722 1271
423 773 4877
84 980 1021
121 909 192
252 915 2635
235 998 3634
51 257 2658
300 241 3004
93 552 568
386 804 2130
523 154 3637
110 146 2976
920 198 2582
33 106 4128
615 524 1084
735 229 1984
61 514 3068
436 937 1870
134 529 897
137 799 3090
712 225 746
146 254 4664
19 449 2262
616 176 1329
132 886 961
452 674 4410
350 784 1028
336 372 992
250 220 3536
989 552 253
459 560 2895
46 693 722
554 326 2984
360 20 4388
473 849 972
835 765 2400
746 348 2226
901 394 3917
6 999 694
454 572 1228
68 417 2600
85 805 3686
601 93 4149
353 485 1813
365 794 3274
495 66 4853
513 320 4953
279 118 3827
692 136 3658
219 260 364
580 662 3470
499 335 4277
520 641 1562
175 825 372
611 696 848
195 51 4416
686 291 1764
392 381 4776
357 629 593
398 517 2635
729 610 2123
443 470 1716
720 144 3200
995 421 3840
690 180 1441
203 152 1695
423 451 2133
811 516 4180
186 434 2200
68 610 4735
169 693 3347
769 540 634
190 57 3005
480 257 692
63 922 4341
328 84 4404
891 713 1162
58 964 582
553 498 1716
677 858 1930
915 76 2835
176 424 4842
57 980 4736
143 394 3000
175 250 4060
86 212 122
423 499 125
787 711 1090
118 788 2905
512 936 1532
279 848 2209
292 447 1339
788 943 358
119 562 1125
769 193 3619
410 996 2958
702 275 401
672 865 1502
368 346 2918
73 345 2739
246 396 2829
736 326 3719
429 491 423
757 577 4062
234 304 2056
764 240 699
276 610 1979
99 191 987
947 73 1167
15 535 4084
464 441 1973
3 850 1686
418 653 3120
476 540 2512
371 970 3623
212 863 2641
477 179 777
974 87 1395
993 746 527
136 635 3871
907 456 960
605 217 4421
709 795 3308
890 961 3208
621 322 1810
723 243 1942
364 445 2921
980 482 604
135 723 608
688 686 1289
721 718 2769
420 75 405
85 962 4984
794 437 2663
809 321 4140
393 372 4248
80 646 3168
328 505 4573
289 589 3625
42 230 2996
467 36 3272
944 804 55
805 79 2661
559 748 2221
298 3 1249
862 320 4429
546 818 2851
164 37 4474
715 221 2616
751 569 831
294 940 1052
682 25 4549
872 655 1720
198 8 429
151 444 1810
303 571 1698
443 355 111
543 306 2329
865 482 4512
552 663 3043
635 221 4792
210 744 152
117 983 4916
966 708 1859
886 829 1833
713 56 821
398 654 3584
278 403 1505
16 156 4510
372 333 3720
598 451 4094
772 729 3142
948 426 2526
612 939 2351
737 346 3658
810 537 1401
289 150 4869
510 309 4427
287 634 3396
765 318 2122
199 742 1618
450 763 1997
832 59 1414
257 872 886
770 705 730
92 158 3154
396 4 4427
725 125 4850
494 155 28
753 598 4604
465 665 1978
976 651 1971
259 120 3823
702 999 2194
634 717 849
901 347 2436
395 428 449
853 743 1610
116 812 789
12 408 4344
274 561 3465
297 139 3397
218 483 1457
59 392 2562
374 338 2345
603 91 2291
251 795 1718
612 922 826
536 7 4148
868 883 2416
50 459 2258
632 817 4330
570 544 3815
758 452 391
175 693 2660
388 192 2145
2 207 4445
53 579 1205
613 75 3895
658 647 3591
805 337 858
115 576 1320
188 202 237
186 46 1658
240 589 1093
60 242 2600
800 655 3079
962 40 4288
75 231 200
927 809 2606
250 889 1890
819 449 2781
655 406 1098
237 100 1636
77 366 884
909 563 2510
58 908 3976
622 396 356
636 754 3767
821 165 1366
824 301 167
585 17 1085
506 493 2998
621 750 4961
189 931 1910
179 404 3971
795 979 1550
532 489 1863
608 184 1306
356 782 2037
257 721 1206
919 569 1738
898 717 265
45 519 884
889 541 2691
120 240 4578
448 986 1443
989 97 1562
896 766 678
660 475 2991
950 911 1054
533 710 1081
152 526 3199
387 776 569
437 657 457
835 295 1477
320 245 4726
643 226 3828
262 936 964
260 671 3955
315 863 3607
685 20 2631
343 184 3758
348 216 3666
472 167 4126
667 741 2999
438 477 367
105 605 4322
690 61 1180
841 364 1774
268 13 1200
6 879 884
697 165 3913
100 196 457
852 151 3744
77 548 2474
25 746 4074
104 881 1938
861 953 624
625 789 3656
882 642 2669
589 444 3170
68 874 273
858 423 1234
240 675 2900
563 500 2963
237 100 1037
464 637 3111
75 958 1895
661 541 244
580 31 2988
997 948 189
10 305 2444
611 30 2429
927 625 1664
581 655 7
51 306 1251
252 54 4780
263 960 2555
817 485 492
231 466 358
859 367 2352
71 420 3232
517 48 3520
517 561 2286
104 6 503
235 464 4623
565 607 584
116 656 4300
930 409 1450
397 322 2445
142 374 698
165 571 174
651 683 640
197 803 4028
971 604 4730
63 367 2121
124 684 1187
616 175 1551
774 566 1203
917 737 2863
138 309 2837
858 232 2561
361 474 325
342 809 1128
472 531 3374
815 247 918
909 271 4963
260 663 470
702 361 1761
862 196 1906
946 924 1224
80 964 4228
362 611 3877
279 23 1257
136 63 1803
284 755 927
149 352 1049
176 447 1831
285 783 3247
48 656 688
16 753 4563
618 739 1090
686 739 583
905 305 2568
295 568 3034
969 879 3013
834 124 4089
704 180 1094
542 954 2969
236 905 2158
612 425 1498
103 512 821
563 432 575
970 387 4490
73 714 2554
929 719 2914
300 346 3516
118 794 1160
995 904 3936
867 916 3901
586 742 3285
693 431 4147
477 787 1656
806 401 3646
517 232 4292
30 790 4508
79 300 363
14 988 2690
529 531 857
521 933 3824
595 612 2119
776 210 4662
8 935 4228
491 278 2726
904 837 1752
712 987 1947
513 883 3103
968 720 3525
222 72 2599
145 696 227
449 189 310
707 970 539
331 623 817
408 369 2756
505 527 4778
43 776 1952
669 580 1995
291 851 3466
823 861 174
126 826 85
240 921 1172
551 210 4690
88 685 3817
3 955 3911
513 386 1618
504 170 3036
190 623 1349
330 575 4737
603 664 449
172 731 921
781 405 3806
215 489 3497
745 152 3552
850 326 589
716 164 2133
856 290 506
181 755 957
871 690 4735
377 516 4255
571 981 227
336 751 1636
130 884 1800
173 829 3409
507 634 4749
554 863 1531
289 861 1673
538 83 1887
997 952 955
803 967 4001
11 869 320
697 947 2173
766 560 1301
242 59 928
976 312 4771
400 15 4636
295 23 2590
814 248 639
102 975 3070
635 966 464
133 588 2911
163 730 548
206 82 522
825 320 3896
922 115 4971
566 136 290
119 788 2479
874 745 3703
728 88 4029
635 110 1030
657 182 613
503 531 1714
944 54 79
190 146 576
540 184 501
969 34 3971
758 49 2597
873 754 1015
882 468 1605
854 459 3461
775 971 3106
789 451 4780
506 749 1188
969 268 1536
374 868 2633
411 117 3540
792 224 1570
25 34 446
635 164 3247
956 350 4639
434 600 220
109 471 4630
261 389 1447
719 835 2462
779 135 2423
821 490 248
331 387 4038
547 751 3076
566 763 1211
147 468 865
229 31 4344
892 654 2043
556 927 3051
282 937 1361
744 300 3411
226 761 2954
87 419 1194
255 292 203
755 720 1107
848 431 3260
842 294 376
887 958 3948
115 855 4542
522 593 772
24 10 3422
689 744 2327
158 132 1121
586 264 2655
324 104 4070
317 383 535
574 873 2938
404 419 4234
322 69 4439
491 64 38
948 192 1440
503 683 1837
468 76 807
8 237 2101
688 314 3785
526 163 3511
240 124 2842
126 383 4283
190 135 4483
544 202 2915
272 13 3778
723 308 1427
956 118 2844
932 243 4235
314 423 616
909 811 1817
665 271 1518
80 631 35
274 211 1298
683 526 4613
472 134 302
787 169 4809
180 949 1246
759 623 4578
502 466 252
880 731 2466
118 41 1743
634 879 2080
456 382 392
509 864 2504
262 789 2013
359 539 1616
833 799 3739
948 577 2098
601 855 3650
708 592 3279
731 175 132
466 988 1195
20 359 3066
869 865 3358
547 536 1157
222 402 3648
958 527 2778
306 166 264
514 108 4373
451 760 1275
829 570 2909
972 591 3957
66 212 1519
136 225 1420
193 178 1476
764 210 2374
630 303 491
950 866 4418
886 246 1828
316 106 4826
430 29 499
140 583 478
934 283 3388
881 744 4608
113 660 1633
207 772 1152
279 409 2175
215 407 796
196 129 2872
990 118 4445
489 817 2184
479 227 3798
986 218 2368
908 291 4352
387 268 4988
54 9 3993
877 187 830
526 735 1480
446 183 1596
895 669 3577
684 607 1820
815 394 3930
610 85 4091
412 960 1576
709 873 245
320 78 3039
368 156 4036
800 769 1506
861 899 276
269 661 1824
656 285 1440
655 951 2806
606 869 1549
718 483 1969
748 310 2759
577 844 2767
473 713 2748
555 752 2115
764 425 1030
260 436 515
189 991 886
67 41 3926
820 465 3664
498 149 4955
239 732 2077
822 888 902
652 427 3584
826 241 828
466 231 879
256 49 268
855 387 30
130 387 4957
753 990 1841
640 206 3447
694 200 352
124 663 593
450 773 3817
441 494 1596
550 266 900
472 301 4166
462 424 426
656 674 3411
599 65 4299
234 175 3062
102 387 4003
934 160 3300
751 457 2935
484 913 4094
417 751 962
264 91 953
407 341 2088
86 721 4677
908 544 205
357 379 3900
107 1 1908
716 848 4237
832 668 1442
759 274 3460
192 723 4006
257 936 2240
171 861 3432
21 487 3875
218 244 3906
426 527 348
728 833 1157
662 247 236
724 995 294
934 74 665
553 481 2034
810 768 1570
636 17 1706
235 845 4868
287 352 2308
302 7 2491
662 900 3723
739 123 571
399 638 981
613 710 1910
815 61 252
976 865 708
383 718 794
862 527 3458
797 508 1271
749 312 3688
321 68 774
771 764 2737
470 319 684
399 915 3181
599 322 3248
623 394 1035
983 590 1047
579 798 340
792 691 2064
628 794 2247
246 17 2302
49 936 1351
715 217 2624
738 706 2167
170 325 1619
128 523 2950
458 452 2217
171 869 2987
41 156 2656
395 849 475
449 427 2355
591 751 4304
82 108 3209
483 321 2348
79 31 1514
82 292 2481
797 619 4303
671 19 4849
68 829 4597
534 313 4582
288 592 3602
233 120 1694
36 195 3985
725 659 4883
548 244 3622
353 582 1746
395 118 342
743 943 636
368 538 1369
719 555 4280
770 923 4568
157 314 3638
172 668 3092
37 104 3613
769 725 1393
612 66 4041
336 360 2745
851 128 2346
245 798 2597
613 756 2485
862 586 3740
798 97 740
780 128 367
491 440 1553
238 858 894
242 163 4146
671 788 4386
406 899 1307
769 248 1238
31 567 4413
960 36 859
47 83 668
368 495 4816
681 241 2110
837 214 2677
372 128 867
430 992 1539
468 25 2244
868 825 1709
262 298 2356
219 624 2350
71 655 3644
951 877 2416
888 454 4081
675 315 2939
743 230 1206
42 909 3217
610 717 4818
591 810 1191
15 803 2485
98 447 2855
119 62 3944
179 138 440
605 85 533
977 439 3439
91 523 3336
336 94 4552
952 991 2147
112 327 2063
384 122 4693
250 607 466
296 109 1881
804 259 363
825 989 1061
357 506 4755
166 867 1553
148 996 1675
599 68 1225
419 11 1811
174 757 1571
690 642 324
676 50 2062
546 448 4932
113 410 2289
825 991 1830
910 990 688
116 775 1762
598 314 554
638 593 3911
950 267 385
439 236 4117
387 946 733
914 216 191
713 715 94
751 805 2027
984 414 2081
454 544 4268
366 503 675
880 840 4905
245 943 113
672 648 3990
552 154 2791
977 671 4651
324 653 4852
134 691 4493
109 398 1497
637 153 666
224 910 3141
266 533 4482
31 671 2572
500 372 1142
680 1000 2280
789 274 3604
674 8 1473
650 689 773
94 548 38
518 827 485
975 227 1115
607 792 4971
276 836 434
989 802 428
967 77 1328
447 437 3859
737 287 1500
691 40 2716
388 473 3670
323 811 3797
487 626 493
885 668 1149
876 493 2059
511 663 1240
680 713 3
337 101 1066
950 714 761
901 415 250
673 847 1047
976 259 1931
329 591 4640
195 812 4973
551 75 4268
429 706 1587
330 32 4838
409 148 653
41 315 2042
117 928 725
991 428 4772
206 37 3400
654 661 1524
800 833 4731
873 373 3562
939 270 2301
599 380 2509
783 367 4248
118 651 157
480 831 2393
919 273 4625
374 975 2759
942 699 4023
854 236 1534
905 370 467
36 2 2443
69 660 2367
165 676 3556
