  Number     Name    CFNHWG0001  CVODGT0002  CPXIJU0003  CETDXH0004  CGCCDR0005  CGARWR0006  CPAKQS0007  CEZNMQ0008  CVECRX0009  CHFWUG0010  CMSONV0011  CELMFZ0012  CBIIFR0013  CAOKHQ0014  CGJAPT0015  CZUTDS0016  CJAKDJ0017  CZMWTL0018  COPJOP0019  CFPHJF0020 
 20190423  YMNI0423      No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         Yes         No          No     
 20190424  PZGB0424      No          No          No          No          No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         No          Yes         Yes    
 20190425  QTDT0425      No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          No     
 20190426  XJPR0426      Yes         No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          Yes    
 20190427  MUBG0427      No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          Yes    
 20190428  YROE0428      No          No          No          Yes         No          No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          No     
 20190429  HOZZ0429      No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          No     
 20190430  NWRW0430      No          No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          Yes         No          Yes         No          No          No     
 20190431  XSOL0431      No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         Yes         No          No          Yes         No          No          No     
 20190432  UBSC0432      No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          No     
 20190433  TVBY0433      No          No          Yes         No          No          No          No          Yes         No          No          No          No          No          No          No          No          Yes         Yes         Yes         No     
 20190434  VFYR0434      No          No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No          No     
 20190435  WYOA0435      No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No     
 20190436  PAKU0436      No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes    
 20190437  LDIJ0437      No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes    
 20190438  KXBN0438      No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes    
 20190439  WJYD0439      No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         Yes         No          No          No          Yes    
 20190440  LXAN0440      Yes         No          Yes         No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No          No     
 20190441  UWDD0441      No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         No          No          Yes         No     
 20190442  FXVW0442      No          No          Yes         No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No     
 20190443  QQQZ0443      No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          No          Yes    
 20190444  KYDN0444      No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes    
 20190445  ZBBV0445      No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes    
 20190446  TCHA0446      Yes         No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          Yes    
 20190447  CFRQ0447      No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          No     
 20190448  LXZK0448      No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         Yes    
 20190449  ZXBY0449      No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         Yes         No          No     
 20190450  PMYS0450      No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          No     
 20190451  ITSY0451      Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No     
 20190452  APQH0452      Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes    
 20190453  JGRN0453      No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          No     
 20190454  SKRJ0454      No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         Yes         Yes         No     
 20190455  ELAT0455      No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes    
 20190456  JREJ0456      No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes    
 20190457  MJWC0457      Yes         No          Yes         No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          No          No          No          No     
 20190458  UWMB0458      No          Yes         No          Yes         No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          No          No     
 20190459  OKZE0459      No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          Yes         No          No     
 20190460  SBBM0460      No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes         Yes         No          No     
 20190461  TUJS0461      No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          Yes         No          Yes         No          No          Yes         No          No          No     
 20190462  FGND0462      No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         Yes         No          No          Yes         No          No          No     
 20190463  AXVJ0463      No          No          Yes         No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          No     
 20190464  FTGY0464      No          No          Yes         No          No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          Yes         No     
 20190465  FJID0465      Yes         No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes    
 20190466  OXAX0466      No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No     
 20190467  DATY0467      No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes    
 20190468  CFGD0468      Yes         No          No          No          Yes         No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          No     
 20190469  HTNM0469      No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         No          No     
 20190470  KZKT0470      No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          Yes         No     
 20190471  OYIN0471      Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         Yes    
 20190472  ZQIM0472      No          Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes    
 20190473  BKNA0473      Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          No          Yes    
 20190474  TKER0474      Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         Yes         No          No     
 20190475  RRKH0475      No          No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes    
 20190476  GSRD0476      Yes         No          Yes         No          Yes         No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          Yes         No     
 20190477  WBBZ0477      Yes         No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          Yes    
 20190478  UOGH0478      No          No          Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          Yes         No          No     
 20190479  CRVE0479      No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          No     
 20190480  TXKW0480      Yes         Yes         Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No     
 20190481  ZXKC0481      No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          Yes         Yes         Yes         No          No          No          No          No          No     
 20190482  LMZL0482      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         No          No          No          Yes         No          No          No          Yes    
 20190483  FPVX0483      No          No          No          Yes         Yes         Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes    
 20190484  XHYP0484      No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No     
 20190485  WMMD0485      No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No     
 20190486  XJSC0486      No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No          No          No          Yes         No          Yes         No          No          No     
 20190487  ADLT0487      No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No     
 20190488  NHAI0488      Yes         No          No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          Yes         No          No     
 20190489  HIRR0489      No          No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         No          No     
 20190490  JVSE0490      No          No          No          Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          No     
 20190491  SZXV0491      Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          Yes    
 20190492  VYXI0492      Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          No          Yes         No     
 20190493  ZUMI0493      Yes         Yes         No          No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes    
 20190494  SENZ0494      No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          No     
 20190495  OZJW0495      No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         No          Yes    
 20190496  MDXS0496      No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         No     
 20190497  DROK0497      No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          Yes         No          Yes    
 20190498  AJJE0498      No          Yes         No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No          Yes         Yes         No     
 20190499  EGVW0499      No          Yes         No          Yes         Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          No          No          No     
 20190500  DJOL0500      No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         Yes         Yes         No          No     
